Model,Split,f1,balanced_accuracy,accuracy,roc_auc
k-mer+KNN (k=3),ID Test,0.6836467638301207,0.6564027976242551,0.8176173845556849,0.7935520820169852
k-mer+KNN (k=3),OOD Test,0.7650392005114572,0.8227187743372797,0.7962962962962963,0.9082220222799134
CNN,ID Test,0.7483206281729606,0.7551471231518474,0.8079161816065192,0.8375675185260791
CNN,OOD Test,0.5978948538271662,0.7294010427064626,0.6038647342995169,0.9294448086220017
BiLSTM,ID Test,0.6778478265951295,0.6771929952465662,0.7613504074505238,0.7446973452703819
BiLSTM,OOD Test,0.511758211785487,0.6611533501083293,0.512614063338701,0.887482056556107
